# Population Oahu	113OAPtu,117OAPtu,123OAPtu,127OAPtu,129OAPtu,132OAPtu,133OAPtu,137OAPtu,92OAPtu,93OAPtu
# Population FrenchFrigateShoals	149FFSPtu,150FFSPtu,151FFSPtu,152FFSPtu,153FFSPtu,158FFSPtu,159FFSPtu,160FFSPtu,161FFSPtu
# Population MaroReef	164MRPtu,165MRPtu,169MRPtu,172MRPtu,175MRPtu
# Population Pearl_Hermes	178PHPtu,179PHPtu,180PHPtu,181PHPtu
# Population Kure	187KURPtu,188KURPtu,190KURPtu,191KURPtu,192KURPtu,193KURPtu,197KURPtu,198KURPtu,202KURPtu,204KURPtu
# Population PioneerBanks	210PBPtu,211PBPtu,214PBPtu
# Population Maui	220MAPtu,222MAPtu,228MAPtu,233MAPtu,238MAPtu,246MAPtu,78MAPtu,79MAPtu,80MAPtu,85MAPtu
# Population Molokai	314MOPtu,317MOPtu,319MOPtu,322MOPtu,326MOPtu,330MOPtu,332MOPtu,348MOPtu,350MOPtu,352MOPtu
# Population BigIsland	393BIPtu,397BIPtu,398BIPtu,399BIPtu,405BIPtu,408BIPtu,412BIPtu,413BIPtu,414BIPtu,415BIPtu,420BIPtu,421BIPtu,422BIPtu,423BIPtu,424BIPtu,428BIPtu,429BIPtu
# Population Kauai	445KAPtu,451KAPtu,458KAPtu,460KAPtu,461KAPtu,469KAPtu,471KAPtu,478KAPtu,480KAPtu,481KAPtu,482KAPtu,483KAPtu,485KAPtu,486KAPtu,491KAPtu
# Group defaultgrp	Oahu,FrenchFrigateShoals,MaroReef,Pearl_Hermes,Kure,PioneerBanks,Maui,Molokai,BigIsland,Kauai
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
10061	un	9686	-0.00900	-1.00000	-0.00010	-1.00000	0.00000	-1.00000
11008	un	10097	-0.03559	-1.00000	-0.00158	-1.00000	0.00843	-1.00000
11074	un	10569	-0.00230	-1.00000	-0.00013	-1.00000	-0.00007	-1.00000
11315	un	11037	-0.02034	-1.00000	-0.00277	-1.00000	-0.00114	-1.00000
11796	un	11536	-0.02813	-1.00000	-0.00035	-1.00000	0.00000	-1.00000
12220	un	12052	-0.01226	-1.00000	-0.00038	-1.00000	0.00113	-1.00000
12728	un	12389	-0.00666	-1.00000	-0.00007	-1.00000	0.00000	-1.00000
13246	un	13007	-0.02295	-1.00000	-0.00098	-1.00000	0.00044	-1.00000
13955	un	13394	-0.00863	-1.00000	-0.00006	-1.00000	0.00319	-1.00000
14455	un	14620	0.00025	-1.00000	-0.00008	-1.00000	-0.00008	-1.00000
14518	un	15099	-0.00311	-1.00000	-0.00004	-1.00000	0.00000	-1.00000
14522	un	15437	-0.01471	-1.00000	-0.00043	-1.00000	0.00108	-1.00000
14706	un	15819	-0.01047	-1.00000	-0.00138	-1.00000	-0.00069	-1.00000
14943	un	16794	0.03589	-1.00000	0.00077	-1.00000	-0.00014	-1.00000
15879	un	17272	-0.02275	-1.00000	-0.00296	-1.00000	0.00419	-1.00000
16369	un	17625	-0.03742	-1.00000	-0.00045	-1.00000	0.00000	-1.00000
17180	un	18022	-0.00397	-1.00000	-0.00038	-1.00000	-0.00020	-1.00000
18283	un	18751	0.05288	-1.00000	0.00703	-1.00000	0.00814	-1.00000
18719	un	19164	0.06613	-1.00000	0.01304	-1.00000	0.01699	-1.00000
19311	un	19627	-0.00311	-1.00000	-0.00004	-1.00000	0.00157	-1.00000
19853	un	20328	0.02498	-1.00000	0.00096	-1.00000	0.00131	-1.00000
21436	un	21423	0.02013	-1.00000	-0.00150	-1.00000	-0.00152	-1.00000
21548	un	21758	-0.02540	-1.00000	-0.00029	-1.00000	0.00000	-1.00000
23288	un	22019	0.03706	-1.00000	0.00159	-1.00000	-0.00240	-1.00000
24817	un	22347	0.02009	-1.00000	0.00096	-1.00000	0.01041	-1.00000
25264	un	22661	0.00265	-1.00000	-0.00001	-1.00000	-0.00008	-1.00000
25318	un	23339	-0.00290	-1.00000	-0.00052	-1.00000	-0.00101	-1.00000
25398	un	23677	0.02343	-1.00000	0.00107	-1.00000	0.01152	-1.00000
25605	un	24139	-0.01409	-1.00000	-0.00040	-1.00000	-0.00004	-1.00000
25623	un	24464	0.03231	-1.00000	0.00767	-1.00000	0.00697	-1.00000
26422	un	24953	-0.01736	-1.00000	-0.00050	-1.00000	-0.00004	-1.00000
26429	un	25269	-0.00476	-1.00000	-0.00006	-1.00000	0.00000	-1.00000
26556	un	25774	0.00359	-1.00000	0.00004	-1.00000	0.00000	-1.00000
26579	un	26211	0.01381	-1.00000	0.00034	-1.00000	0.00023	-1.00000
26712	un	26475	0.00444	-1.00000	0.00005	-1.00000	0.00000	-1.00000
27012	un	27160	0.02125	-1.00000	0.00310	-1.00000	0.00189	-1.00000
27287	un	27529	-0.01663	-1.00000	-0.00090	-1.00000	0.00394	-1.00000
27423	un	27802	0.02346	-1.00000	0.00051	-1.00000	0.00688	-1.00000
27522	un	28271	0.12886	-1.00000	0.00154	-1.00000	0.00015	-1.00000
30368	un	28546	-0.01590	-1.00000	-0.00046	-1.00000	0.00172	-1.00000
31865	un	28955	0.00818	-1.00000	-0.00000	-1.00000	0.00061	-1.00000
32562	un	29426	-0.00979	-1.00000	-0.00012	-1.00000	0.00000	-1.00000
33047	un	29805	-0.00734	-1.00000	0.00022	-1.00000	0.00505	-1.00000
33831	un	30278	-0.01520	-1.00000	0.00113	-1.00000	0.00866	-1.00000
34090	un	30857	-0.01275	-1.00000	-0.00107	-1.00000	0.00031	-1.00000
34388	un	31159	0.01527	-1.00000	0.00059	-1.00000	-0.00124	-1.00000
35043	un	32575	-0.00230	-1.00000	-0.00003	-1.00000	0.00000	-1.00000
35167	un	33981	0.01920	-1.00000	0.00067	-1.00000	0.00201	-1.00000
35665	un	34515	0.00616	-1.00000	0.00014	-1.00000	0.00154	-1.00000
35833	un	34864	0.01969	-1.00000	0.00972	-1.00000	0.01612	-1.00000
37981	un	35263	0.02896	-1.00000	0.00086	-1.00000	0.00127	-1.00000
38520	un	35768	0.04680	-1.00000	0.00058	-1.00000	0.00000	-1.00000
38950	un	36166	0.00503	-1.00000	0.00006	-1.00000	0.00309	-1.00000
39704	un	36474	0.00683	-1.00000	0.00008	-1.00000	0.00000	-1.00000
40411	un	36812	0.00441	-1.00000	0.00005	-1.00000	0.00000	-1.00000
40464	un	37241	-0.01841	-1.00000	-0.00090	-1.00000	-0.00001	-1.00000
41423	un	37674	0.00277	-1.00000	-0.00192	-1.00000	-0.00451	-1.00000
41848	un	38069	-0.02318	-1.00000	-0.00287	-1.00000	-0.00025	-1.00000
43331	un	38445	0.00064	-1.00000	-0.00055	-1.00000	0.00517	-1.00000
43460	un	38969	-0.01786	-1.00000	-0.00169	-1.00000	0.00180	-1.00000
44615	un	40046	0.00094	-1.00000	0.00062	-1.00000	0.00054	-1.00000
44617	un	40745	-0.02615	-1.00000	-0.00064	-1.00000	0.00439	-1.00000
44756	un	41366	-0.03071	-1.00000	-0.00034	-1.00000	0.00000	-1.00000
45231	un	42375	-0.03148	-1.00000	-0.00035	-1.00000	0.00000	-1.00000
45671	un	43182	-0.01191	-1.00000	-0.00044	-1.00000	0.00120	-1.00000
45707	un	43564	0.02810	-1.00000	0.00102	-1.00000	-0.00040	-1.00000
46674	un	43902	-0.01567	-1.00000	-0.00084	-1.00000	-0.00015	-1.00000
47664	un	44474	0.06914	-1.00000	0.01109	-1.00000	0.01672	-1.00000
49386	un	44798	-0.01641	-1.00000	-0.00179	-1.00000	-0.00011	-1.00000
50690	un	45237	-0.03598	-1.00000	-0.00044	-1.00000	0.00000	-1.00000
60865	un	45611	0.00485	-1.00000	-0.00093	-1.00000	-0.00146	-1.00000
1096075	un	46464	0.00104	-1.00000	0.00011	-1.00000	-0.00045	-1.00000
2058296	un	47121	-0.03417	-1.00000	-0.00041	-1.00000	0.00000	-1.00000
2530346	un	48024	0.03903	-1.00000	0.00085	-1.00000	0.00178	-1.00000
2555271	un	48479	0.00359	-1.00000	0.00004	-1.00000	0.00000	-1.00000
