# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
13955	Pearl_Hermes	BigIsland	un	13563	169	1.000000000	0.60000	0.04859	7.40828	0.22185	0.00721	-1.00000	-1.00000
13955	Pearl_Hermes	BigIsland	un	13568	174	0.210526316	0.12903	0.01035	1.60882	0.88930	0.10135	-1.00000	-1.00000
13955	Pearl_Hermes	BigIsland	un	13569	175	1.000000000	0.60000	0.04859	7.40828	0.22185	0.00721	-1.00000	-1.00000
14522	Pearl_Hermes	BigIsland	un	15610	173	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
14943	Pearl_Hermes	BigIsland	un	16810	16	0.190476190	0.11429	0.00919	1.42096	0.94201	0.10366	-1.00000	-1.00000
15879	Pearl_Hermes	BigIsland	un	17282	10	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
15879	Pearl_Hermes	BigIsland	un	17292	20	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
15879	Pearl_Hermes	BigIsland	un	17478	206	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
15879	Pearl_Hermes	BigIsland	un	17509	237	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
15879	Pearl_Hermes	BigIsland	un	17540	268	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
15879	Pearl_Hermes	BigIsland	un	17568	296	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
16369	Pearl_Hermes	BigIsland	un	17736	111	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
18283	Pearl_Hermes	BigIsland	un	18978	227	0.565041502	1.68966	0.17773	16.06368	0.22780	0.03114	-1.00000	-1.00000
18719	Pearl_Hermes	BigIsland	un	19545	381	0.577123682	1.40000	0.14445	13.56854	0.14613	0.02521	-1.00000	-1.00000
21436	Pearl_Hermes	BigIsland	un	21510	87	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
24817	Pearl_Hermes	BigIsland	un	22425	78	1.000000000	1.00000	0.09607	10.40876	0.00000	0.01818	-1.00000	-1.00000
25398	Pearl_Hermes	BigIsland	un	23822	145	0.190476190	0.11429	0.00919	1.42096	0.94201	0.10366	-1.00000	-1.00000
25398	Pearl_Hermes	BigIsland	un	23892	215	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
25623	Pearl_Hermes	BigIsland	un	24480	16	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
25623	Pearl_Hermes	BigIsland	un	24539	75	0.150000000	0.08571	0.00668	1.09989	1.06695	0.14530	-1.00000	-1.00000
25623	Pearl_Hermes	BigIsland	un	24591	127	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
26579	Pearl_Hermes	BigIsland	un	26283	72	1.000000000	0.63636	0.05740	7.05478	0.19629	0.00929	-1.00000	-1.00000
27012	Pearl_Hermes	BigIsland	un	27178	18	0.157894737	0.09091	0.00708	1.16807	1.04139	0.14414	-1.00000	-1.00000
27012	Pearl_Hermes	BigIsland	un	27181	21	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
27287	Pearl_Hermes	BigIsland	un	27626	97	1.000000000	0.56250	0.04563	6.93421	0.24988	0.00641	-1.00000	-1.00000
27287	Pearl_Hermes	BigIsland	un	27685	156	1.000000000	0.56250	0.04563	6.93421	0.24988	0.00641	-1.00000	-1.00000
27287	Pearl_Hermes	BigIsland	un	27706	177	0.364102564	0.22581	0.01254	4.06569	0.64626	0.02961	-1.00000	-1.00000
27423	Pearl_Hermes	BigIsland	un	27975	173	0.222222222	0.13793	0.01104	1.72269	0.86034	0.10000	-1.00000	-1.00000
27522	Pearl_Hermes	BigIsland	un	28409	138	1.000000000	0.63636	0.05740	7.05478	0.19629	0.00929	-1.00000	-1.00000
27522	Pearl_Hermes	BigIsland	un	28474	203	0.157894737	0.09091	0.00708	1.16807	1.04139	0.14414	-1.00000	-1.00000
33047	Pearl_Hermes	BigIsland	un	29845	40	0.190476190	0.11429	0.00919	1.42096	0.94201	0.10366	-1.00000	-1.00000
33831	Pearl_Hermes	BigIsland	un	30330	52	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
33831	Pearl_Hermes	BigIsland	un	30398	120	1.000000000	1.15385	0.11301	11.78052	0.06215	0.00038	-1.00000	-1.00000
33831	Pearl_Hermes	BigIsland	un	30403	125	0.157894737	0.09091	0.00708	1.16807	1.04139	0.14414	-1.00000	-1.00000
33831	Pearl_Hermes	BigIsland	un	30410	132	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
33831	Pearl_Hermes	BigIsland	un	30503	225	1.000000000	0.50000	0.03946	6.33584	0.30103	0.00649	-1.00000	-1.00000
34090	Pearl_Hermes	BigIsland	un	31038	181	1.000000000	0.50000	0.03946	6.33584	0.30103	0.00649	-1.00000	-1.00000
34388	Pearl_Hermes	BigIsland	un	31192	33	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
35167	Pearl_Hermes	BigIsland	un	34045	64	1.000000000	1.12500	0.11136	11.36514	0.05115	0.01810	-1.00000	-1.00000
35665	Pearl_Hermes	BigIsland	un	34571	56	1.000000000	0.84000	0.07519	9.38457	0.07572	0.01538	-1.00000	-1.00000
35665	Pearl_Hermes	BigIsland	un	34635	120	1.000000000	0.53846	0.04241	6.83740	0.26885	0.00744	-1.00000	-1.00000
35833	Pearl_Hermes	BigIsland	un	34938	74	0.150000000	0.08571	0.00668	1.09989	1.06695	0.14530	-1.00000	-1.00000
35833	Pearl_Hermes	BigIsland	un	34967	103	0.150000000	0.08571	0.00668	1.09989	1.06695	0.14530	-1.00000	-1.00000
35833	Pearl_Hermes	BigIsland	un	34973	109	0.150000000	0.08571	0.00668	1.09989	1.06695	0.14530	-1.00000	-1.00000
35833	Pearl_Hermes	BigIsland	un	35000	136	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
35833	Pearl_Hermes	BigIsland	un	35038	174	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
37981	Pearl_Hermes	BigIsland	un	35443	180	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
38950	Pearl_Hermes	BigIsland	un	36322	156	1.000000000	0.56250	0.04563	6.93421	0.24988	0.00641	-1.00000	-1.00000
38950	Pearl_Hermes	BigIsland	un	36365	199	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
40464	Pearl_Hermes	BigIsland	un	37393	152	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
40464	Pearl_Hermes	BigIsland	un	37490	249	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
41423	Pearl_Hermes	BigIsland	un	37747	73	0.150000000	0.08571	0.00668	1.09989	1.06695	0.14530	-1.00000	-1.00000
41423	Pearl_Hermes	BigIsland	un	37819	145	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
41848	Pearl_Hermes	BigIsland	un	38074	5	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
41848	Pearl_Hermes	BigIsland	un	38194	125	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
41848	Pearl_Hermes	BigIsland	un	38253	184	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
43331	Pearl_Hermes	BigIsland	un	38551	106	1.000000000	0.63636	0.05740	7.05478	0.19629	0.00929	-1.00000	-1.00000
43460	Pearl_Hermes	BigIsland	un	39022	53	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
43460	Pearl_Hermes	BigIsland	un	39034	65	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
43460	Pearl_Hermes	BigIsland	un	39073	104	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
44615	Pearl_Hermes	BigIsland	un	40193	147	0.210526316	0.12903	0.01035	1.60882	0.88930	0.10135	-1.00000	-1.00000
44617	Pearl_Hermes	BigIsland	un	40928	183	1.000000000	0.46667	0.03689	5.90281	0.33099	0.00571	-1.00000	-1.00000
44756	Pearl_Hermes	BigIsland	un	41434	68	1.000000000	0.52941	0.04301	6.51714	0.27621	0.00574	-1.00000	-1.00000
45231	Pearl_Hermes	BigIsland	un	42501	126	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
45671	Pearl_Hermes	BigIsland	un	43236	54	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
45707	Pearl_Hermes	BigIsland	un	43692	128	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
45707	Pearl_Hermes	BigIsland	un	43766	202	0.150000000	0.08571	0.00668	1.09989	1.06695	0.14530	-1.00000	-1.00000
47664	Pearl_Hermes	BigIsland	un	44514	40	1.000000000	0.64286	0.05197	7.95189	0.19189	0.00816	-1.00000	-1.00000
49386	Pearl_Hermes	BigIsland	un	44843	45	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
49386	Pearl_Hermes	BigIsland	un	44977	179	1.000000000	0.41176	0.03265	5.19291	0.38535	0.00452	-1.00000	-1.00000
50690	Pearl_Hermes	BigIsland	un	45249	12	1.000000000	0.43750	0.03464	5.52516	0.35902	0.00507	-1.00000	-1.00000
60865	Pearl_Hermes	BigIsland	un	45824	213	0.309523810	0.17241	0.00921	3.22840	0.76343	0.04706	-1.00000	-1.00000
1096075	Pearl_Hermes	BigIsland	un	46606	142	0.200000000	0.12121	0.00974	1.50907	0.91645	0.10256	-1.00000	-1.00000
2058296	Pearl_Hermes	BigIsland	un	47394	273	1.000000000	0.56250	0.04563	6.93421	0.24988	0.00641	-1.00000	-1.00000
2530346	Pearl_Hermes	BigIsland	un	48083	59	0.210526316	0.12903	0.01035	1.60882	0.88930	0.10135	-1.00000	-1.00000
