# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
25398	PioneerBanks	Maui	un	23758	81	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
25398	PioneerBanks	Maui	un	23892	215	0.272727273	0.17647	0.01344	2.31640	0.75333	0.12698	-1.00000	-1.00000
25398	PioneerBanks	Maui	un	23939	262	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
26422	PioneerBanks	Maui	un	25086	133	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
26556	PioneerBanks	Maui	un	25891	117	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
31865	PioneerBanks	Maui	un	28988	33	1.000000000	1.23529	0.10893	14.00850	0.09177	0.03030	-1.00000	-1.00000
33047	PioneerBanks	Maui	un	29846	41	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
33831	PioneerBanks	Maui	un	30398	120	1.000000000	0.62500	0.04632	8.43236	0.20412	0.00529	-1.00000	-1.00000
33831	PioneerBanks	Maui	un	30441	163	0.230769231	0.14286	0.01097	1.85955	0.84510	0.13333	-1.00000	-1.00000
33831	PioneerBanks	Maui	un	30503	225	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
34090	PioneerBanks	Maui	un	31038	181	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
34090	PioneerBanks	Maui	un	31042	185	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
34388	PioneerBanks	Maui	un	31208	49	0.272727273	0.17647	0.01344	2.31640	0.75333	0.12698	-1.00000	-1.00000
35833	PioneerBanks	Maui	un	34973	109	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
35833	PioneerBanks	Maui	un	35000	136	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
35833	PioneerBanks	Maui	un	35030	166	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
35833	PioneerBanks	Maui	un	35033	169	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
38950	PioneerBanks	Maui	un	36227	61	0.250000000	0.15789	0.01208	2.06301	0.80163	0.13043	-1.00000	-1.00000
41423	PioneerBanks	Maui	un	37819	145	0.272727273	0.17647	0.01344	2.31640	0.75333	0.12698	-1.00000	-1.00000
41848	PioneerBanks	Maui	un	38181	112	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
44615	PioneerBanks	Maui	un	40150	104	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
44615	PioneerBanks	Maui	un	40193	147	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
47664	PioneerBanks	Maui	un	44514	40	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
49386	PioneerBanks	Maui	un	44852	54	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
49386	PioneerBanks	Maui	un	44868	70	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
60865	PioneerBanks	Maui	un	45764	153	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
60865	PioneerBanks	Maui	un	45865	254	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
1096075	PioneerBanks	Maui	un	46574	110	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
1096075	PioneerBanks	Maui	un	46603	139	1.000000000	0.87500	0.06767	11.31376	0.05799	0.01786	-1.00000	-1.00000
2530346	PioneerBanks	Maui	un	48311	287	1.000000000	0.77778	0.06047	10.00435	0.10914	0.01449	-1.00000	-1.00000
