StacksLocus	SymbioLocus	PercentIdent	Length	Mismatch	GapOpen	QStart	QEnd	Sstart	SEnd	Evalue	BitScore
CLocus_19311_Sample_6_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_6_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_6_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_6_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_7_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_7_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_7_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_7_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_7_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_7_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_8_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_8_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_8_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_8_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_8_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_8_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_11_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_11_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_11_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_11_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_11_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_11_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_13_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_13_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_13_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_13_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_13_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_13_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_14_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_14_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_14_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_14_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_14_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_14_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_15_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_15_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_15_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_15_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_15_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_15_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_16_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_16_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_16_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_16_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_16_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_16_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_17_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_17_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_17_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_17_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_17_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_17_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_18_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_18_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_18_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_18_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_18_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_18_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_19_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_19_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_19_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_19_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_19_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_19_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_20_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_20_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_20_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_20_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_20_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_20_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_21_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_21_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_21_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_21_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_21_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_21_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_22_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_22_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_22_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_22_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_22_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_22_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_23_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_23_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_23_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_23_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_23_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_23_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_24_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_24_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_24_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_24_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_24_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_24_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_25_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_25_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_25_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_25_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_25_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_25_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_26_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_26_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_26_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_26_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_26_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_26_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_28_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_28_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_28_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_28_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_28_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_28_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_29_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_29_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_29_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_29_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_29_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_29_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_30_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_30_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_30_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_30_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_30_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_30_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_31_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_31_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_31_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_31_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_31_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_31_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_33_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_33_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_33_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_33_Locus_19311_Allele_1	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_33_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
CLocus_19311_Sample_33_Locus_19311_Allele_1	Smic1_04-503SCI.03.scaffold15042	84	75	12	0	449	523	7233	7159	1.07e-09	73.1
CLocus_19311_Sample_34_Locus_19311_Allele_0	Smic2_CassKB8.scaffold5032	78.261	115	25	0	414	528	3508	3622	2.96e-10	75
CLocus_19311_Sample_34_Locus_19311_Allele_0	Smic1_04-503SCI.03.scaffold13640	76.692	133	31	0	414	546	8831	8699	2.96e-10	75
